"Cód.";"Brasil e Unidade da Federação";"2021"
"1";"Brasil";"213317639"
"11";"Rondônia";"1815278"
"12";"Acre";"906876"
"13";"Amazonas";"4269995"
"14";"Roraima";"652713"
"15";"Pará";"8777124"
"16";"Amapá";"877613"
"17";"Tocantins";"1607363"
"21";"Maranhão";"7153262"
"22";"Piauí";"3289290"
"23";"Ceará";"9240580"
"24";"Rio Grande do Norte";"3560903"
"25";"Paraíba";"4059905"
"26";"Pernambuco";"9674793"
"27";"Alagoas";"3365351"
"28";"Sergipe";"2338474"
"29";"Bahia";"14985284"
"31";"Minas Gerais";"21411923"
"32";"Espírito Santo";"4108508"
"33";"Rio de Janeiro";"17463349"
"35";"São Paulo";"46649132"
"41";"Paraná";"11597484"
"42";"Santa Catarina";"7338473"
"43";"Rio Grande do Sul";"11466630"
"50";"Mato Grosso do Sul";"2839188"
"51";"Mato Grosso";"3567234"
"52";"Goiás";"7206589"
"53";"Distrito Federal";"3094325"